question,status,answer,error
Что включает в себя научно-исследовательская экспедиция?,answered,"Научно-исследовательская экспедиция знакомит школьников Новосибирской области с экологией региона, биогеографией, влиянием климата и рациональным природопользованием. Проект включает в себя:
* полевые исследования;
* лекции;
* мастер-классы.",
С чем знакомит проект «Научно-исследовательская экспедиция»?,answered,"Проект знакомит школьников Новосибирской области с экологией региона, биогеографией, влиянием климата и рациональным природопользованием.",
Меняются ли условия участия в экспедиции по сезону?,answered,"Да, условия участия и конкретные маршруты научно-исследовательской экспедиции меняются по сезону.",
Где нужно уточнять маршруты экспедиции?,answered,Конкретные маршруты экспедиции следует уточнять на странице проекта и в новостях.,
Какие темы входят в проект «Первый шаг в IT»?,answered,"В проект «Первый шаг в IT» входят следующие темы:
* разработка игр;
* кибербезопасность;
* веб-разработка;
* алгоритмы и данные.",
Когда обычно начинается набор на регулярные программы?,answered,Набор на регулярные программы обычно начинается в августе.,
В какие месяцы проходят занятия на регулярных программах?,answered,Занятия на регулярных программах проходят еженедельно с сентября по май.,
Для каких классов предназначены регулярные программы?,answered,"Регулярные программы предназначены для следующих классов:
*   По физике: «Физика. Начала» для 5-го и 6-го классов.
*   По биологии и химии: «Биология. Начала» для 5-го и 6-го классов, а также олимпиадная биология для разных классов.",
Какие программы по биологии упоминаются в каталоге?,answered,"В каталоге упоминаются следующие программы по биологии:
* «Биология. Начала» для 5-го и 6-го классов;
* олимпиадная биология для разных классов;
* проектная школа по биологии.",
Для каких классов предназначена программа «Биология. Начала»?,answered,Программа «Биология. Начала» предназначена для 5-го и 6-го классов.,
Какие программы по физике упоминаются в каталоге?,answered,"В каталоге упоминаются следующие программы по физике:
* «Физика. Начала» для 5-го и 6-го классов;
* экспериментальная и олимпиадная физика;
* цифровые лаборатории в физическом эксперименте;
* подготовка к НТО по физике.",
Для каких классов предназначена программа «Физика. Начала»?,answered,Программа «Физика. Начала» предназначена для 5-го и 6-го классов.,
Есть ли дистанционный режим для учащихся удаленных районов по физике?,answered,"Да, для учащихся удалённых районов по физике предусмотрен отдельный курс, который допускает дистанционный режим.",
Какие технические программы представлены в каталоге?,answered,"В каталоге представлены следующие технические программы:
* «Основы 3D-технологий» (для начинающих 6–7 классов);
* «Инженерное 3D-моделирование» (для учащихся 7–8 классов с опытом);
* «3D-мастерская» (для 7–9 классов).",
Для каких классов предназначена программа «Основы 3D-технологий»?,answered,Программа «Основы 3D-технологий» предназначена для начинающих 6–7 классов.,
Для каких классов предназначена программа «Инженерное 3D-моделирование»?,answered,Программа «Инженерное 3D-моделирование» предназначена для учащихся 7–8 классов с опытом.,
Где проводятся очные технические программы?,answered,"Очные занятия, проекты и мастер-классы проходят в Парке науки и технологий по адресу: г. Новосибирск, ул. Николаева, 12. Также в Бердске находится Образовательный парк имени О. Кошевого, где проводятся длительные профильные смены с проживанием. 

Место конкретного события рекомендуется проверять в его анонсе, так как оно может отличаться.",
Что требуется для отбора на технические программы?,answered,"Единых вступительных заданий и сроков для всех программ нет. В зависимости от курса могут потребоваться:
* мотивационное письмо;
* портфолио;
* дистанционное задание;
* олимпиадный результат;
* видеозапись;
* творческая работа;
* очное собеседование.

Точные требования указаны в новости конкретной программы и в регистрационной форме.",
Сколько регулярных программ организаторы рекомендуют одному ученику?,answered,Организаторы рекомендуют одному ученику посещать не более двух регулярных программ.,
Допускаются ли пропуски занятий на регулярных программах?,answered,Пропуски на регулярных курсах допускаются только в исключительных случаях и при условии предварительного предупреждения преподавателя.,
Что такое раздел «Альтаир-Онлайн»?,answered,"«Альтаир-Онлайн» — это раздел дистанционных образовательных курсов и проектов центра. Набор, классы и платформа в этом разделе зависят от конкретного курса.",
Какой курс по алгоритмам был анонсирован осенью 2026 года?,answered,"Осенью 2026 года был анонсирован дистанционный курс «Алгоритмы и структуры данных для начинающих» для учащихся 6–10 классов. Программа включает изучение Python, базовых структур данных и алгоритмов, решение задач и подготовку к олимпиадам по информатике.",
Для каких классов предназначен курс «Алгоритмы и структуры данных для начинающих»?,answered,Курс «Алгоритмы и структуры данных для начинающих» предназначен для учащихся 6–10 классов.,
На какой платформе проводятся занятия курса по алгоритмам?,answered,Занятия курса «Алгоритмы и структуры данных для начинающих» проводятся на платформе Pruffme.,
В какие дни недели проходят занятия курса по алгоритмам?,answered,Занятия курса «Алгоритмы и структуры данных для начинающих» проходят по понедельникам и средам.,
До какой даты был открыт прием заявок на курс по алгоритмам в сентябре 2026?,answered,Регистрационная форма на курс «Алгоритмы и структуры данных для начинающих» была открыта до 24 сентября 2026 года включительно.,
Проводятся ли программы по искусственному интеллекту в «Альтаире»?,answered,"Да, «Альтаир» проводит программы по искусственному интеллекту и компьютерному зрению. При этом их класс, даты и условия меняются от набора к набору.",
Для каких классов была предназначена программа по ИИ в 2026 году?,answered,Программа по искусственному интеллекту в 2026 году была предназначена для учащихся 7–11 классов.,
Что включала очная программа по ИИ в сентябре 2026?,answered,"Очная программа 21–25 сентября 2026 года включала компьютерное зрение, машинное обучение, командную работу над реальными кейсами и другие темы.",
До какой даты был продлен прием заявок на очный этап ИИ в сентябре 2026?,answered,Приём заявок на очный этап программы «Искусственный интеллект и компьютерное зрение» был продлён до 17 сентября 2026 года.,
Кто организует международный конкурс «Большие вызовы»?,answered,Международный конкурс «Большие вызовы» организуют Фонд «Талант и успех» и Образовательный центр «Сириус».,
Какую роль играет РЦ «Альтаир» в конкурсе «Большие вызовы»?,answered,РЦ «Альтаир» выступает региональным координатором конкурса «Большие вызовы» в Новосибирской области и проводит мероприятия регионального трека.,
Чем отличается «ПРО Большие вызовы» от «Больших вызовов»?,answered,"«ПРО Большие вызовы» — это отдельный региональный конкурс для учащихся 1–7 классов и их наставников, организуемый РЦ «Альтаир» совместно с Фондом «Поддержка проектов в области образования».

«Большие вызовы» — это международный конкурс научно-технологических проектов, который организуют Фонд «Талант и успех» и Образовательный центр «Сириус», а РЦ «Альтаир» выступает в нем региональным координатором в Новосибирской области.",
Для каких классов предназначен конкурс «ПРО Большие вызовы»?,answered,Конкурс «ПРО Большие вызовы» предназначен для учащихся 1–7 классов.,
Какие возрастные группы есть в конкурсе «ПРО Большие вызовы» в сезоне 2026?,answered,В сезоне 2026 года в конкурсе «ПРО Большие вызовы» предусмотрены две возрастные группы: 1–4 и 5–7 классы.,
До какой даты был прием заявок на «ПРО Большие вызовы» в сезоне 2026?,answered,В сезоне 2026 года приём заявок на конкурс «ПРО Большие вызовы» был назначен до 18 сентября.,
Когда проходит финал конкурса «ПРО Большие вызовы» в сезоне 2026?,answered,Финал конкурса «ПРО Большие вызовы» в сезоне 2026 года проходит 29–31 октября.,
Что такое НТО?,answered,Национальная технологическая олимпиада (НТО) — это многоэтапное инженерное соревнование по технологическим направлениям для студентов и школьников.,
Чье расписание НТО приведено на сайте и подходит ли оно для следующего сезона?,answered,"На сайте приведено расписание Национальной технологической олимпиады НТО на сезон 2025/2026, оно не подходит для ответа о сроках следующего сезона.",
Кто является региональным контактом по НТО?,answered,"Региональным контактом по Национальной технологической олимпиаде НТО является Татьяна Владимировна Иванова, тел.: +7 (996) 377-00-23, e-mail: altair-nso@yandex.ru.",
Для каких классов предназначена олимпиада «Альтаир. Зима/Весна»?,answered,Олимпиада «Альтаир. Зима» и «Альтаир. Весна» предназначена для учащихся 5–9 классов Новосибирской области.,
Предусмотрены ли разбор задач и апелляция в олимпиаде «Альтаир»?,answered,"Нет, разбор задач и апелляция результатов в олимпиадах «Альтаир. Зима» и «Альтаир. Весна» не предусмотрены.",
На какой email нужно писать для получения личного результата олимпиады?,answered,"Для получения личного результата олимпиады нужно написать на адрес altolimp@donso.su, сообщив свои ФИО, класс и предмет.",
Какие предметы перечислены на странице олимпиады «Альтаир. Зима»?,answered,"На странице перечислены астрономия, биология, математика, физика и химия. Также в новостях 2026 года содержатся материалы по информатике.",
Что такое проект «Сириус.Лето: Начни свой проект»?,answered,"«Сириус.Лето: Начни свой проект» — это инициатива, региональным координатором которой в Новосибирской области является РЦ «Альтаир». В рамках проекта наставники (студенты, аспиранты и педагоги, соответствующие правилам сезона) сопровождают команды из 1–6 школьников в решении проектных задач.",
Кто может стать наставником в проекте «Сириус.Лето»?,answered,"Наставниками в проекте «Сириус.Лето» могут стать студенты, аспиранты и педагоги, если они соответствуют правилам сезона.",
Через какую систему идет регистрация наставников на «Сириус.Лето»?,answered,Регистрация на «Сириус.Лето» осуществляется через «Сириус.Онлайн».,
Кто был методистом по набору наставников на «Сириус.Лето» в 2026 году?,answered,Методистом по набору 2026 года была Лидия Павловна Зарубеева (lpz@donso.su).,
Чему посвящен проект «Миссия на Луну»?,answered,"Проект «Миссия на Луну» посвящён аэрокосмическим технологиям, космической робототехнике и малым космическим аппаратам.",
Для каких классов предназначен проект «Миссия на Луну»?,answered,Проект «Миссия на Луну» предназначен для учащихся 7–11 классов.,
Какое мероприятие было анонсировано в рамках проекта «Миссия на Луну» на 27 сентября 2026?,answered,В рамках проекта «Миссия на Луну» на 27 сентября 2026 года был анонсирован отдельный музейный формат — мероприятие «Новосибирск космический».,
Где проходило мероприятие «Новосибирск космический»?,answered,Мероприятие «Новосибирск космический» проходило в Музее космонавтики им. Ю. В. Кондратюка.,
Сколько мест было в каждой группе на мероприятии «Новосибирск космический»?,answered,В каждой группе на мероприятии «Новосибирск космический» было по 15 мест.,
Кто был методистом по мероприятию «Новосибирск космический»?,answered,Методистом по мероприятию «Новосибирск космический» была Вероника Сергеевна Несмеянова (nvs@donso.su).,
Подтверждает ли сайт существование единого личного кабинета «Альтаира» с разделами «Смены» и «Мои заявки»?,answered,"Нет, на официальных страницах единый личный кабинет «Альтаира» с разделами «Смены» и «Мои заявки» не найден.",
